"Time [s]";"Pressure [mmHg]";
7.08;161.64;
7.09;161.58;
7.10;161.64;
7.11;161.72;
7.12;161.66;
7.13;161.61;
7.14;161.61;
7.15;161.61;
7.16;161.67;
7.17;161.62;
7.18;161.55;
7.19;161.55;
7.20;161.53;
7.21;161.36;
7.22;161.45;
7.23;161.59;
7.24;161.53;
7.25;161.42;
7.26;161.42;
7.27;161.45;
7.28;161.39;
7.29;161.38;
7.30;161.31;
7.31;161.25;
7.32;161.19;
7.33;161.27;
7.34;161.34;
7.35;161.27;
7.36;161.27;
7.37;161.28;
7.38;161.14;
7.39;161.30;
7.40;161.19;
7.41;161.23;
7.42;161.11;
7.43;161.19;
7.44;161.14;
7.45;161.05;
7.46;161.16;
7.47;161.08;
7.48;161.14;
7.49;161.11;
7.50;161.14;
7.51;160.92;
7.52;160.92;
7.53;161.03;
7.54;161.03;
7.55;161.03;
7.56;161.00;
7.57;160.97;
7.58;161.02;
7.59;160.86;
7.60;160.81;
7.61;160.83;
7.62;160.94;
7.63;160.78;
7.64;160.83;
7.65;160.84;
7.66;160.89;
7.67;160.83;
7.68;160.84;
7.69;160.75;
7.70;160.89;
7.71;160.88;
7.72;160.84;
7.73;160.84;
7.74;160.88;
7.75;160.91;
7.76;160.89;
7.77;160.81;
7.78;160.83;
7.79;161.06;
7.80;160.81;
7.81;160.72;
7.82;160.81;
7.83;160.75;
7.84;160.64;
7.85;160.53;
7.86;160.62;
7.87;160.69;
7.88;160.67;
7.89;160.64;
7.90;160.50;
7.91;160.69;
7.92;160.62;
7.93;160.41;
7.94;160.44;
7.95;160.41;
7.96;160.25;
7.97;160.44;
7.98;160.42;
7.99;160.58;
8.00;160.38;
8.01;160.41;
8.02;160.56;
8.03;160.47;
8.04;160.38;
8.05;160.52;
8.06;160.31;
8.07;160.52;
8.08;160.41;
8.09;160.30;
8.10;160.45;
8.11;160.36;
8.12;160.38;
8.13;160.22;
8.14;160.33;
8.15;160.17;
8.16;160.12;
8.17;160.20;
8.18;160.20;
8.19;160.19;
8.20;160.16;
8.21;160.22;
8.22;160.20;
8.23;160.19;
8.24;160.12;
8.25;160.14;
8.26;160.20;
8.27;160.11;
8.28;160.09;
8.29;160.02;
8.30;160.05;
8.31;160.06;
8.32;159.98;
8.33;160.00;
8.34;160.06;
8.35;160.03;
8.36;160.02;
8.37;159.97;
8.38;159.94;
8.39;159.89;
8.40;159.91;
8.41;159.81;
8.42;159.95;
8.43;159.94;
8.44;159.77;
8.45;159.83;
8.46;159.91;
8.47;159.81;
8.48;159.84;
8.49;159.84;
8.50;159.86;
8.51;159.86;
8.52;159.92;
8.53;159.80;
8.54;159.98;
8.55;159.84;
8.56;159.77;
8.57;159.86;
8.58;159.77;
8.59;159.72;
8.60;159.73;
8.61;159.73;
8.62;159.69;
8.63;159.72;
8.64;159.66;
8.65;159.69;
8.66;159.56;
8.67;159.64;
8.68;159.58;
8.69;159.50;
8.70;159.48;
8.71;159.55;
8.72;159.52;
8.73;159.62;
8.74;159.59;
8.75;159.62;
8.76;159.59;
8.77;159.36;
8.78;159.50;
8.79;159.52;
8.80;159.42;
8.81;159.52;
8.82;159.52;
8.83;159.55;
8.84;159.52;
8.85;159.53;
8.86;159.39;
8.87;159.47;
8.88;159.36;
8.89;159.50;
8.90;159.39;
8.91;159.33;
8.92;159.34;
8.93;159.41;
8.94;159.33;
8.95;159.36;
8.96;159.09;
8.97;159.05;
8.98;159.41;
8.99;159.42;
9.00;159.28;
9.01;159.36;
9.02;159.56;
9.03;159.28;
9.04;158.94;
9.05;159.59;
9.06;159.56;
9.07;159.16;
9.08;159.09;
9.09;159.66;
9.10;159.34;
9.11;159.06;
9.12;159.19;
9.13;159.28;
9.14;159.09;
9.15;158.95;
9.16;159.52;
9.17;159.56;
9.18;159.17;
9.19;158.97;
9.20;159.19;
9.21;159.38;
9.22;159.05;
9.23;159.00;
9.24;159.39;
9.25;159.19;
9.26;159.03;
9.27;159.17;
9.28;159.05;
9.29;159.03;
9.30;159.12;
9.31;159.14;
9.32;158.95;
9.33;159.02;
9.34;159.38;
9.35;159.25;
9.36;159.23;
9.37;158.83;
9.38;159.25;
9.39;159.38;
9.40;159.14;
9.41;159.06;
9.42;159.14;
9.43;159.28;
9.44;159.11;
9.45;159.02;
9.46;159.27;
9.47;159.47;
9.48;159.28;
9.49;159.12;
9.50;159.14;
9.51;159.28;
9.52;159.12;
9.53;159.09;
9.54;159.20;
9.55;159.41;
9.56;159.31;
9.57;158.95;
9.58;159.08;
9.59;159.55;
9.60;159.36;
9.61;159.33;
9.62;159.22;
9.63;158.89;
9.64;159.19;
9.65;159.34;
9.66;159.31;
9.67;159.17;
9.68;159.08;
9.69;159.23;
9.70;159.45;
9.71;159.16;
9.72;159.20;
9.73;159.39;
9.74;159.33;
9.75;159.22;
9.76;159.03;
9.77;159.33;
9.78;159.44;
9.79;159.27;
9.80;159.25;
9.81;159.09;
9.82;159.06;
9.83;159.47;
9.84;159.42;
9.85;159.42;
9.86;159.06;
9.87;159.11;
9.88;159.34;
9.89;159.38;
9.90;159.36;
9.91;159.03;
9.92;159.08;
9.93;159.33;
9.94;159.23;
9.95;159.12;
9.96;159.14;
9.97;159.39;
9.98;159.28;
9.99;159.17;
10.00;159.16;
10.01;159.23;
10.02;159.30;
10.03;159.08;
10.04;159.20;
10.05;159.00;
10.06;159.23;
10.07;159.39;
10.08;159.42;
10.09;159.31;
10.10;159.20;
10.11;159.27;
10.12;159.12;
10.13;159.14;
10.14;159.16;
10.15;159.25;
10.16;159.25;
10.17;159.25;
10.18;159.17;
10.19;159.23;
10.20;159.17;
10.21;159.34;
10.22;159.17;
10.23;159.17;
10.24;159.17;
10.25;159.36;
10.26;159.28;
10.27;159.27;
10.28;159.08;
10.29;159.22;
10.30;159.20;
10.31;159.23;
10.32;158.12;
10.33;151.50;
10.34;142.73;
10.35;135.06;
10.36;128.16;
10.37;121.91;
10.38;116.94;
10.39;116.89;
10.40;118.05;
10.41;118.62;
10.42;118.45;
10.43;117.80;
10.44;117.70;
10.45;117.94;
10.46;117.94;
10.47;117.97;
10.48;117.88;
10.49;117.84;
10.50;117.95;
10.51;117.83;
10.52;117.88;
10.53;117.94;
10.54;117.91;
10.55;118.03;
10.56;117.95;
10.57;118.05;
10.58;117.98;
10.59;118.09;
10.60;117.97;
10.61;118.19;
10.62;118.16;
10.63;118.14;
10.64;118.22;
10.65;118.12;
10.66;118.05;
10.67;118.20;
10.68;118.27;
10.69;118.14;
10.70;118.22;
10.71;118.06;
10.72;118.05;
10.73;118.06;
10.74;118.22;
10.75;118.36;
10.76;118.36;
10.77;118.19;
10.78;118.31;
10.79;118.28;
10.80;118.33;
10.81;118.23;
10.82;118.31;
10.83;118.33;
10.84;118.56;
10.85;118.36;
10.86;118.41;
10.87;118.39;
10.88;118.39;
10.89;118.31;
10.90;118.55;
10.91;118.48;
10.92;118.42;
10.93;118.53;
10.94;118.27;
10.95;118.38;
10.96;118.50;
10.97;118.45;
10.98;118.42;
10.99;118.42;
11.00;118.58;
11.01;118.44;
11.02;118.45;
11.03;118.50;
11.04;118.58;
11.05;118.47;
11.06;118.42;
11.07;118.47;
11.08;118.39;
11.09;118.50;
11.10;118.45;
11.11;118.53;
11.12;118.52;
11.13;118.55;
11.14;118.50;
11.15;118.58;
11.16;118.44;
11.17;118.53;
11.18;118.48;
11.19;118.61;
11.20;118.36;
11.21;118.56;
11.22;118.53;
11.23;118.52;
11.24;118.52;
11.25;118.58;
11.26;118.58;
11.27;118.67;
11.28;118.62;
11.29;118.55;
11.30;118.66;
11.31;118.55;
11.32;118.56;
11.33;118.48;
11.34;118.56;
11.35;118.50;
11.36;118.78;
11.37;118.55;
11.38;118.48;
11.39;118.31;
11.40;118.44;
11.41;118.69;
11.42;118.50;
11.43;118.72;
11.44;118.64;
11.45;118.58;
11.46;118.55;
11.47;118.47;
11.48;118.53;
11.49;118.67;
11.50;118.50;
11.51;118.59;
11.52;118.53;
11.53;118.59;
11.54;118.52;
11.55;118.59;
11.56;118.59;
11.57;118.67;
11.58;118.41;
11.59;118.53;
11.60;118.58;
11.61;118.52;
11.62;118.55;
11.63;118.59;
11.64;118.59;
11.65;118.61;
11.66;118.66;
11.67;118.53;
11.68;117.27;
11.69;112.31;
11.70;105.89;
11.71;100.34;
11.72;95.22;
11.73;90.42;
11.74;86.70;
11.75;86.12;
11.76;87.22;
11.77;87.66;
11.78;87.42;
11.79;87.02;
11.80;86.83;
11.81;86.94;
11.82;86.89;
11.83;86.84;
11.84;86.83;
11.85;86.92;
11.86;87.00;
11.87;87.02;
11.88;86.95;
11.89;86.94;
11.90;87.02;
11.91;87.06;
11.92;87.00;
11.93;87.12;
11.94;87.19;
11.95;87.22;
11.96;87.34;
11.97;87.31;
11.98;87.09;
11.99;87.11;
12.00;87.28;
12.01;87.23;
12.02;87.16;
12.03;87.03;
12.04;87.14;
12.05;87.31;
12.06;87.30;
12.07;87.14;
12.08;87.28;
12.09;87.27;
12.10;87.06;
12.11;87.28;
12.12;87.33;
12.13;87.27;
12.14;87.33;
12.15;87.36;
12.16;87.33;
12.17;87.42;
12.18;87.41;
12.19;87.41;
12.20;87.27;
12.21;87.38;
12.22;87.28;
12.23;87.48;
12.24;87.44;
12.25;87.41;
12.26;87.55;
12.27;87.33;
12.28;87.50;
12.29;87.47;
12.30;87.38;
12.31;87.45;
12.32;87.58;
12.33;87.38;
12.34;87.38;
12.35;87.48;
12.36;87.47;
12.37;87.44;
12.38;87.61;
12.39;87.50;
12.40;87.48;
12.41;87.50;
12.42;87.55;
12.43;87.55;
12.44;87.48;
12.45;87.47;
12.46;87.58;
12.47;87.66;
12.48;87.50;
12.49;87.44;
12.50;87.52;
12.51;87.59;
12.52;87.58;
12.53;87.48;
12.54;87.62;
12.55;87.44;
12.56;87.66;
12.57;87.67;
12.58;87.66;
12.59;87.64;
12.60;87.70;
12.61;87.67;
12.62;87.69;
12.63;87.48;
12.64;87.45;
12.65;87.50;
12.66;87.53;
12.67;87.44;
12.68;87.61;
12.69;87.45;
