b'0806a8\r\n'
b'ets Jun  8 2016 00:22:57\r\n'
b'\r\n'
b'rst:0x1 (POWERON_RESET),boot:0x1L\x95\x955\n'
b'clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00\r\n'
b'mode:DIO, clock div:1\r\n'
b'load:0x3fff0018,len:4\r\n'
b'load:0x3fff001c,len:1044\r\n'
b'load:0x40078000,len:10124\r\n'
b'load:0x40080400,len:5856\r\n'
b'entry 0x400806a8\r\n'
b'2415,123,2428,17641,0,924,2440,28408,20,871\r\n'
b'2440,3456,2453,17623,28,1121,2465,28398,28,629\r\n'
b'2465,3423,2478,17597,4,1149,2490,28398,12,787\r\n'
b'2490,131,2503,17588,16,917,2515,28406,6,873\r\n'
b'2515,127,2528,17610,24,943,2540,28395,5,798\r\n'
b'2540,3441,2554,17660,0,1093,2565,28396,0,615\r\n'
b'2565,3408,2579,17716,0,1100,2590,28393,0,785\r\n'
b'2590,139,2604,17739,5,894,2616,28388,0,839\r\n'
b'2616,455,2629,17625,0,935,2641,28389,0,755\r\n'
b'2641,3465,2654,17631,0,1139,2666,28408,18,578\r\n'
b'2666,3182,2679,17652,0,1144,2691,28396,27,729\r\n'
b'2691,119,2704,17622,0,940,2716,28388,34,801\r\n'
b'2716,453,2729,17632,13,1040,2741,28398,48,698\r\n'
b'2741,3455,2754,17588,32,1152,2766,28402,22,552\r\n'
b'2766,3263,2779,17589,5,1131,2791,28394,25,729\r\n'
b'2791,123,2805,17620,9,925,2821,28384,0,688\r\n'
b'2821,3440,2835,17643,1,1119,2851,28413,0,752\r\n'
b'2851,126,2865,17672,0,902,2881,28414,16,667\r\n'
b'2881,3437,2895,17696,0,1126,2911,28415,18,745\r\n'
b'2911,132,2925,17727,5,897,2941,28403,21,656\r\n'
b'2941,3429,2955,17752,0,1144,2971,28409,18,744\r\n'
b'2971,137,2985,17705,41,904,2996,28399,0,761\r\n'
b'2996,449,3010,17677,11,1038,3021,28400,0,612\r\n'
b'3021,3411,3035,17659,18,1077,3047,28397,18,523\r\n'
b'3047,2286,3060,17619,9,952,3072,28397,35,703\r\n'
b'3072,120,3086,17640,10,758,3102,28387,3,568\r\n'
b'3102,3446,3116,17693,0,914,3132,28384,4,685\r\n'
b'3132,121,3146,17688,0,645,3162,28370,0,559\r\n'
b'3162,3441,3176,17717,0,845,3192,28393,0,701\r\n'
b'3192,123,3206,17755,0,607,3222,28387,0,586\r\n'
b'3222,3439,3236,17749,0,783,3252,28395,0,710\r\n'
b'3252,128,3266,17704,28,539,3282,28413,3,584\r\n'
b'3282,3426,3296,17680,23,723,3312,28406,10,706\r\n'
b'3312,132,3326,17682,6,478,3342,28399,14,571\r\n'
b'3342,3419,3357,17661,0,653,3372,28403,34,709\r\n'
